id,title,privacy,likes,views,comments,timestamp
4839501,Baby Number Two for Kevin and Christine Costner!,private,87,12304,6,Wed Oct 09 06:08:45 2015
4839502,Kate Gosselin Cooks for a Brood on a Budget,public,63,16933,35,Thu Oct 10 04:10:46 2015
4839503,Strategies for Coping with Bed Rest,public,116,13111,34,Fri Oct 11 06:10:47 2015
4839504,Funniest ""I Can't Go to Bed Yet"" Excuses,private,73,16735,11,Sat Oct 12 06:10:48 2015
4839505,Halloween Games for Kids of Every Age,private,49,2962,32,Sun Oct 13 06:10:49 2015
4839506,Funniest ""I Can't Go to Bed Yet"" Excuses,private,97,19180,2,Mon Oct 14 06:10:50 2015
4839507,Project Runway Winner Is...,private,44,16696,5,Tue Oct 15 03:10:51 2015
4839508,Beauty on a Budget,private,62,15583,13,Wed Oct 16 06:08:52 2015
4839509,Meet Up with Moms in Your Neighborhood,public,17,17554,12,Thu Oct 17 04:10:53 2015
4839510,Teen Drivers. Mom Worriers.,private,70,19224,0,Fri Oct 18 07:11:54 2015
4839511,Celebrity Baby Buzz!,public,67,2715,28,Sat Oct 19 07:11:55 2015
4839512,Let's Do School Lunch,public,134,4399,33,Sun Oct 20 07:11:00 2015
4839513,Scariest Movie for Halloween?,private,129,8126,33,Wed Oct 02 07:09:01 2015
4839514,Having Babies Makes You Smarter,private,106,2096,36,Thu Oct 03 05:11:02 2015
4839515,Leaving Your Baby With a Sitter for the First Time,private,124,5743,48,Fri Oct 04 07:11:03 2015
4839516,Playdate Needed for Suri Cruise--Interested?,public,78,1546,26,Sat Oct 05 07:11:04 2015
4839517,Smokey Eye Made Easy,public,67,5190,37,Sun Oct 06 07:11:05 2015
4839518,Well-done Burgers That Actually Taste Good,public,134,8932,27,Mon Oct 07 07:11:06 2015
4839519,Thinking About Botox?,public,83,9314,49,Tue Oct 08 04:11:07 2015
4839520,"Are You Preggers, a Prego or Just Plain Pregnant?",public,73,9165,21,Wed Oct 09 07:09:08 2015
4839521,Guilt-Free Halloween Candy,public,88,12273,34,Thu Oct 10 05:11:09 2015
4839522,Celebrities on Autism: All for Better Book Sales?,public,93,7545,41,Fri Oct 11 07:11:10 2015
4839523,Backyardigans/Uniqua,public,26,9182,7,Sat Oct 12 07:11:11 2015
4839524,Help! - Cheap Storage Ideas for Children's Books,public,99,5928,2,Sun Oct 13 07:11:12 2015
4839525,"Liar, Liar, Pants on Fire! When Kids Lie",private,67,11237,15,Mon Oct 14 07:11:13 2015
4839526,Get Ready - 2009 Calendars Are Coming!,public,153,9822,34,Tue Oct 15 04:11:14 2015
4839527,Babies Learning Sign Language,public,77,2323,9,Wed Oct 16 07:09:15 2015
4839528,Baby's Death Prompts Recall of Convertible Cribs,private,47,11459,15,Thu Oct 17 05:11:16 2015
4839529,Links Sweet Links - Autumn Weekend,public,126,11464,37,Fri Oct 18 07:11:17 2015
4839530,All About Apples!,public,95,3611,32,Sat Oct 19 07:11:18 2015
4839531,Grey's Anatomy Recap,private,51,13185,29,Sun Oct 20 07:11:19 2015
4839532,15 Secrets of Labor and Delivery,public,98,5505,31,Wed Oct 02 07:09:20 2015
4839533,What To Do This Weekend,public,18,19360,11,Thu Oct 03 05:11:21 2015
4839534,Fun (and Useful!) Tips on Setting Up Your Registry,private,98,13592,36,Fri Oct 04 07:11:22 2015
4839535,What's Your Least Favorite Part of Being Pregnant?,public,84,9737,29,Sat Oct 05 07:11:23 2015
4839536,The Hair Down There,private,130,18537,27,Sun Oct 06 07:11:24 2015
4839537,Diet Perils at the Pumpkin Patch,public,100,8767,7,Mon Oct 07 07:11:25 2015
4839538,Calling All Teen Girl Artists!,public,96,12769,15,Tue Oct 08 04:11:26 2015
4839539,Eliminating Tipping?,private,55,20280,14,Wed Oct 09 07:09:27 2015
4839540,How Did You Lose Your Baby Weight?,public,56,2440,22,Thu Oct 10 05:11:28 2015
4839541,"The Dirt on Angelina, Miley, and More!",public,34,15682,3,Fri Oct 11 07:11:29 2015
4839542,5 Ways to Avoid Fall Weight Gain,private,7,20420,6,Sat Oct 12 07:11:30 2015
4839543,Nutter Butter Ghost Cookies in a Jiffy,public,76,13550,35,Sun Oct 13 07:11:31 2015
4839544,Lose Pounds Weight Lifting with Baby,private,111,4062,24,Mon Oct 14 07:11:32 2015
4839545,Balancing Work and Family,private,2,17129,2,Tue Oct 15 04:11:33 2015
4839546,A Handmade Halloween With Etsy,public,40,20826,32,Wed Oct 16 07:09:34 2015
4839547,"Yes, Toddlers Do Need to Floss",private,61,14238,27,Thu Oct 17 05:11:35 2015
4839548,Save Money on Coffee,public,130,17413,37,Fri Oct 18 07:11:36 2015
4839549,Special Tips for Moms of Special Needs Kids,private,38,20156,19,Sat Oct 19 07:11:37 2015
4839550,Feel Your Boobies,public,69,12208,7,Sun Oct 20 07:11:38 2015
4839551,"Stop Whining, Please, I Beg You!",private,150,12526,34,Wed Oct 02 07:09:39 2015
4839552,Weekend Lust List,private,84,16582,23,Thu Oct 03 05:11:40 2015
4839553,What's the Longest You've Been Away From Your Toddler?,private,112,5793,27,Fri Oct 04 07:11:41 2015
4839554,Parents Forced to Vaccinate Their Children,public,132,19865,46,Sat Oct 05 07:11:42 2015
4839555,Are You a Cosmoholic?,public,56,7747,24,Sun Oct 06 07:11:43 2015
4839556,The Scariest Beauty Procedure Is...,public,58,8405,4,Mon Oct 07 07:11:44 2015
4839557,Pumpkin Face Mask,private,63,18350,42,Tue Oct 08 04:11:45 2015
4839558,Get Reese Witherspoon's Look,private,160,19535,38,Wed Oct 09 07:09:46 2015
4839559,Weekend DIY: Cheap Wall Art,private,59,4627,7,Thu Oct 10 05:11:47 2015
4839560,Time Out Rooms in Schools--Going Too Far?,public,25,16483,8,Fri Oct 11 07:12:48 2015
4839561,Where Did You Make Your Baby?,private,56,14696,19,Sat Oct 12 07:12:49 2015
4839562,Words to Live By - I Will Do ONE Thing Today,private,138,4941,31,Sun Oct 13 07:12:50 2015
4839563,Celeb Love: LL Cool J. Working Together as a Family,private,102,7152,4,Mon Oct 14 07:12:51 2015
4839564,5 Big Pregnancy Concerns,private,69,14444,9,Tue Oct 15 04:12:52 2015
4839565,Sarah Palin On SNL! Are You Watching?,public,67,1772,4,Wed Oct 16 07:10:53 2015
4839566,Marcia Brady Tells All!,public,130,20928,28,Thu Oct 17 05:12:54 2015
4839567,Feed Your Skin with a Pumpkin Facial,public,43,14839,14,Fri Oct 18 07:12:55 2015
4839568,"When the Going Gets Tough, Just Think Triplets!",private,147,1876,42,Sat Oct 19 07:12:00 2015
4839569,Big Kid Mom Sundays: Rest and Relaxation? Right.,public,58,14879,26,Sun Oct 20 07:12:01 2015
4839570,Bullies: When Other People's Kids are a Problem,private,31,14668,15,Wed Oct 02 07:10:02 2015
4839571,"Hey Baby, How Would You Like a Massage?",private,27,3507,16,Thu Oct 03 05:12:03 2015
4839572,New Test Detects Autism in Infants,public,93,19818,13,Fri Oct 04 07:12:04 2015
4839573,Buy a Coffee Maker & Save Money at Home,public,114,13103,23,Sat Oct 05 07:12:05 2015
4839574,Pamper Your Baby Like a Celebrity Mama,private,110,1311,27,Sun Oct 06 07:12:06 2015
4839575,Be Inspired - Dad Writes Kids Letters Every Day for 15 Years,private,62,15723,1,Mon Oct 07 07:12:07 2015
4839576,Boys and Puberty. Get Ready.,private,131,20383,33,Tue Oct 08 04:12:08 2015
4839577,Kids and Coffee. A Good Combination?,private,34,19680,1,Wed Oct 09 07:10:09 2015
4839578,Read Any Good Books Lately?,private,148,16905,41,Thu Oct 10 05:12:10 2015
4839579,Are You Having a Boy or a Girl?,private,141,12380,39,Fri Oct 11 07:12:11 2015
4839580,Should Toddlers See Their Parents Naked?,private,100,16089,47,Sat Oct 12 07:12:12 2015
4839581,The Great Pumpkin Martini,private,115,2791,39,Sun Oct 13 07:12:13 2015
4839582,Holiday Shopping for Early Starters,private,109,15306,11,Mon Oct 14 07:12:14 2015
4839583,Madonna and A-Rod? OMG!,private,68,17722,30,Tue Oct 15 04:12:15 2015
4839584,Caffeine: Beauty's Secret Weapon,private,97,15921,23,Wed Oct 16 07:10:16 2015
4839585,New on DVD!,public,70,11349,16,Thu Oct 17 05:12:17 2015
4839586,Super Mom Style Tips,public,39,12362,14,Fri Oct 18 07:12:18 2015
4839587,Healthy Chain Restaurants: They Do Exist!,private,31,16070,3,Sat Oct 19 07:12:19 2015
4839588,Bingeing on Halloween Candy,public,62,6665,8,Sun Oct 20 07:12:20 2015
4839589,When a Pet Dies: How to Have the Talk,private,89,17975,28,Wed Oct 02 07:10:21 2015
4839590,Political T-Shirts for Dogs: Every Bark Counts,public,105,10558,48,Thu Oct 03 05:12:22 2015
4839591,Beautiful Skin In 60 Seconds,public,77,4098,30,Fri Oct 04 07:12:23 2015
4839592,Baby Gear: I Love My ...,public,107,7311,32,Sat Oct 05 07:12:24 2015
4839593,Toxic Baby Bottles Banned,public,35,20716,18,Sun Oct 06 07:12:25 2015
4839594,Cures for Cradle Cap,public,51,1289,35,Mon Oct 07 07:12:26 2015
4839595,High Heels for Babies?,private,71,11335,40,Tue Oct 08 04:12:27 2015
4839596,A White House Vegetable Garden: A Must Have?,private,16,11777,0,Wed Oct 09 07:10:28 2015
4839597,Coffee During Pregnancy,public,84,1444,11,Thu Oct 10 05:12:29 2015
4839598,Kids for Obama & McCain: Partisan Playmates,private,58,6335,13,Fri Oct 11 07:12:30 2015
4839599,Best of Craigslist,private,78,11314,20,Sat Oct 12 07:12:31 2015
4839600,Vintage vs. Designer: How to Score Great Looks for Less,public,78,18964,0,Sun Oct 13 07:12:32 2015
4839601,Coffee Good for Your Health?,private,74,3632,31,Mon Oct 14 07:12:33 2015
4839602,You Know You're a Mom of a Toddler When ...,public,72,11259,12,Tue Oct 15 04:12:34 2015
4839603,Homemade Beauty Recipes: Bye-Bye Cellulite and Pimples,public,114,13221,10,Wed Oct 16 07:10:35 2015
4839604,10 Cool Baby Names to Consider,public,53,10361,34,Thu Oct 17 05:12:36 2015
4839605,Retro Parties Are the Next New Thing,public,62,18612,17,Fri Oct 18 07:12:37 2015
4839606,New Music! What's New This Week!,private,66,13390,46,Sat Oct 19 07:12:38 2015
4839607,Scariest Movie Villain?,private,21,9771,10,Sun Oct 20 07:12:39 2015
4839608,Kate Hudson vs. Liv Tyler,public,122,2848,24,Wed Oct 02 07:10:40 2015
4839609,Planning for Your Period,public,176,17189,49,Thu Oct 03 05:12:41 2015
4839610,Non-alcoholic Drink Recipes for Any Occasion,public,70,17647,32,Fri Oct 04 08:13:42 2015
4839611,More Halloween Fun!,public,54,11233,16,Sat Oct 05 08:13:43 2015
4839612,When is Alcohol a Problem?,private,81,19711,16,Sun Oct 06 08:13:44 2015
4839613,Vintage  & Vintage-Inspired Design: A Good Mix,private,31,13781,14,Mon Oct 07 08:13:45 2015
4839614,Family Meals: Do You Eat Together?,private,47,2416,31,Tue Oct 08 05:13:46 2015
4839615,Legally Abandoned Kids Not Always Infants,public,71,2014,25,Wed Oct 09 08:11:47 2015
4839616,Hickey Help,public,109,5614,35,Thu Oct 10 06:13:48 2015
4839617,Your Amazing Baby Pre-Birth,private,113,11027,25,Fri Oct 11 08:13:49 2015
4839618,Lee Ann Womack Interview,public,37,2532,7,Sat Oct 12 08:13:50 2015
4839619,Vintage Shops Online: A Few of My Favorites,private,130,17868,24,Sun Oct 13 08:13:51 2015
4839620,$10 Shoes Just Fine for Little Feet,private,90,3673,14,Mon Oct 14 08:13:52 2015
4839621,What's Your Favorite Chocolate Candy?,private,57,3385,29,Tue Oct 15 05:13:53 2015
4839622,Safe Pumpkin Carving for Toddlers,public,53,20389,7,Wed Oct 16 08:11:54 2015
4839623,The Weekly Tick-Tock of Pregnancy,private,83,5844,16,Thu Oct 17 06:13:55 2015
4839624,Babymoons: Your Pre-Baby Vacay,public,136,4978,39,Fri Oct 18 08:13:00 2015
4839625,Sick of Madonna Divorce Gossip? Me Too!,public,34,14582,14,Sat Oct 19 08:13:01 2015
4839626,Best Time to Add Baby to the Toddler Mix,public,64,12545,4,Sun Oct 20 08:13:02 2015
4839627,How Much Does Your Hubby Help?,public,104,11412,41,Wed Oct 02 08:11:03 2015
4839628,How to Shop Vintage & Thrift Stores,public,70,15719,35,Thu Oct 03 06:13:04 2015
4839629,Jewelry Your Kids Can Chew On,public,70,3451,16,Fri Oct 04 08:13:05 2015
4839630,Free Pass for Affair? Who is Your Pick?,public,114,16709,32,Sat Oct 05 08:13:06 2015
4839631,Your Baby is So Jealous,public,87,8251,18,Sun Oct 06 08:13:07 2015
4839632,Do You and Your Baby Get Along?,private,150,5359,35,Mon Oct 07 08:13:08 2015
4839633,Teen Gets Cigarettes from Mom for ""Good Behavior"",private,68,19698,47,Tue Oct 08 05:13:09 2015
4839634,Do Women Get More Cavities than Men?,private,142,11601,40,Wed Oct 09 08:11:10 2015
4839635,One-Pot Meals Every Week,public,127,14929,45,Thu Oct 10 06:13:11 2015
4839636,Depression Doubles Your Risk of Preterm Delivery,private,78,4464,25,Fri Oct 11 08:13:12 2015
4839637,"Toddlers on a Leash--Sit, Katherine, Sit",private,126,1210,48,Sat Oct 12 08:13:13 2015
4839638,Kids & Stress: The Middle School Years,private,21,14257,6,Sun Oct 13 08:13:14 2015
4839639,Your Child's Name: Why Did You Choose It?,public,64,2632,13,Mon Oct 14 08:13:15 2015
4839640,When Did You Tell at Work?,private,83,4266,22,Tue Oct 15 05:13:16 2015
4839641,HGTV's Handyman Anthony Gilardi: Ask Him Your Home Repair Questions,public,73,9800,23,Wed Oct 16 08:11:17 2015
4839642,Quick Party Food for Football Fans,public,76,20481,45,Thu Oct 17 06:13:18 2015
4839643,Is Jen Pregnant?,public,31,11514,15,Fri Oct 18 08:13:19 2015
4839644,A Stylish Teether for Moms—and Babies,private,157,15960,41,Sat Oct 19 08:13:20 2015
4839645,Halloween Birthdays: Can You Say Double Fun?!,private,9,16565,4,Sun Oct 20 08:13:21 2015
4839646,Palin Billed State for Kids' Travel. What Would You Have Done?,public,102,4329,21,Wed Oct 02 08:11:22 2015
4839647,Win Lunch With ""High School Musical"" Cast,public,139,16505,30,Thu Oct 03 06:13:23 2015
4839648,Favorite Spot in Your Home? Where & Why?,public,136,18049,46,Fri Oct 04 08:13:24 2015
4839649,Fancy Halloween Treats...With Tofu?,private,89,11652,0,Sat Oct 05 08:13:25 2015
4839650,Kids' Food Allergies Up Nearly 20%,public,19,11887,11,Sun Oct 06 08:13:26 2015
4839651,What's Your Definition of Ugly?,public,65,12156,30,Mon Oct 07 08:13:27 2015
4839652,What's Your Favorite Pair of Sweatpants?,private,39,19574,21,Tue Oct 08 05:13:28 2015
4839653,Design Deals - Nature Walk,public,61,18074,48,Wed Oct 09 08:11:29 2015
4839654,Twin Boys for Brooke and Charlie!,private,51,18916,12,Thu Oct 10 06:13:30 2015
4839655,The View Backstage Showdown!,private,71,19727,19,Fri Oct 11 08:13:31 2015
4839656,Backstage Showdown at The View!,public,131,8410,44,Sat Oct 12 08:13:32 2015
4839657,Halloween Bows and Bibs for Your Little Pumpkin,private,76,3747,14,Sun Oct 13 08:13:33 2015
4839658,Yoga Relieves Economic Stress,private,113,6893,40,Mon Oct 14 08:13:34 2015
4839659,Top Design and Dancing with the Stars Recaps,public,25,6930,1,Tue Oct 15 05:13:35 2015
4839660,When is Your Baby's Bedtime?,private,97,2317,11,Wed Oct 16 08:12:36 2015
4839661,Give Blood in Honor of Saw V,public,75,20142,24,Thu Oct 17 06:14:37 2015
4839662,breastmilk,public,116,18833,27,Fri Oct 18 08:14:38 2015
4839663,Snack Time Lies on the Rise,private,114,14204,29,Sat Oct 19 08:14:39 2015
4839664,Multi-Use Furniture for the Nursery,public,115,19414,35,Sun Oct 20 08:14:40 2015
4839665,Tiny Houses: How Small Could You Go?,public,101,6472,40,Wed Oct 02 08:12:41 2015
4839666,Britney Going as Herself this Halloween?,public,45,16614,3,Thu Oct 03 06:14:42 2015
4839667,"Sarah Palin's Wardrobe Cost $150,000",private,95,2797,27,Fri Oct 04 08:14:43 2015
4839668,Ways to Boost Fertility When Trying to Conceive,private,140,20171,45,Sat Oct 05 08:14:44 2015
4839669,PTA: Too Much Pressure For You?,public,96,13288,40,Sun Oct 06 08:14:45 2015
4839670,Going Bananas for the Banana Fad Diet,private,75,11999,33,Mon Oct 07 08:14:46 2015
4839671,Switching from Crib to Bed,private,83,5149,15,Tue Oct 08 05:14:47 2015
4839672,High Trans Fats Intake Linked to Miscarriage,private,46,18759,6,Wed Oct 09 08:12:48 2015
4839673,Quick and Easy Oreo Balls for Halloween,private,132,3414,35,Thu Oct 10 06:14:49 2015
4839674,Kids' Party Entertainers Don't Come Cheap,public,82,11445,46,Fri Oct 11 08:14:50 2015
4839675,Lighting Up Around Your Kids,public,52,1888,10,Sat Oct 12 08:14:51 2015
4839676,Easy to Make Kids Halloween Costumes,public,120,4294,40,Sun Oct 13 08:14:52 2015
4839677,Teen Has Gastric Bypass Surgery ... In Mexico,private,129,7676,44,Mon Oct 14 08:14:53 2015
4839678,Beauty Products Under $20! All Made By a Mom!,private,85,2450,47,Tue Oct 15 05:14:54 2015
4839679,"Green, Reusable Maxi Pads by a CafeMom",private,69,1160,27,Wed Oct 16 08:12:55 2015
4839680,Imaginary Friends: Who Was Yours?,public,39,16718,18,Thu Oct 17 06:14:00 2015
4839681,America's Next Top Model Recap!,public,110,20581,48,Fri Oct 18 08:14:01 2015
4839682,Easy Updo for Moms on the Go,public,128,19395,34,Sat Oct 19 08:14:02 2015
4839683,Be Careful Carving Your Pumpkin this Weekend,private,85,2962,7,Sun Oct 20 08:14:03 2015
4839684,Twig Coasters: Easy Handmade Holiday Gifts,public,94,14907,18,Wed Oct 02 08:12:04 2015
4839685,What is Your Green IQ?,private,108,1489,21,Thu Oct 03 06:14:05 2015
4839686,Sale! All Pants $18,public,114,7686,36,Fri Oct 04 08:14:06 2015
4839687,Eating Fast Equals Major Weight Gain,private,127,5718,32,Sat Oct 05 08:14:07 2015
4839688,Call Your Mother-in-Law,public,147,11361,37,Sun Oct 06 08:14:08 2015
4839689,Low-Carve Pumpkin Idea: Give It a Whack!,private,156,20744,46,Mon Oct 07 08:14:09 2015
4839690,Will Project Runway Return Next Season?,private,76,14820,21,Tue Oct 08 05:14:10 2015
4839691,Go Outdoors - Links Sweet Links,private,121,15582,27,Wed Oct 09 08:12:11 2015
4839692,5 Things Never to Say to an Adoptive Parent,private,112,16255,19,Thu Oct 10 06:14:12 2015
4839693,Missing 9-Year-Old Found: Should Moms Relax?,public,101,20321,11,Fri Oct 11 08:14:13 2015
4839694,Get Your Screaming Baby to Sleep,public,39,9520,1,Sat Oct 12 08:14:14 2015
4839695,"Vacuum, Sweep, Mop...How Often Really?",private,59,6161,8,Sun Oct 13 08:14:15 2015
4839696,Hectic Mornings: Is There Any Other Way?,private,99,19609,46,Mon Oct 14 08:14:16 2015
4839697,Scary Crib Recalls,private,148,13775,47,Tue Oct 15 05:14:17 2015
4839698,Test Time: Are You Ready to Be a Parent?,public,26,19271,9,Wed Oct 16 08:12:18 2015
4839699,Simple Halloween Makeup Ideas,private,133,1607,32,Thu Oct 17 06:14:19 2015
4839700,Real-Mom Birth Stories,public,130,12197,42,Fri Oct 18 08:14:20 2015
4839701,Rocky Horror Picture Show,private,41,11392,9,Sat Oct 19 08:14:21 2015
4839702,New Guidelines for Working Out,private,104,1847,7,Sun Oct 20 08:14:22 2015
4839703,Did Your Baby's Name Make the Most Popular List?,private,20,17782,0,Wed Oct 02 08:12:23 2015
4839704,Are You Sharing Your Baby Name?,private,59,20153,16,Thu Oct 03 06:14:24 2015
4839705,Shoe Search: Help Me Decide,private,39,20543,3,Fri Oct 04 08:14:25 2015
4839706,Are You Sharing Your Baby Name?,public,69,17199,13,Sat Oct 05 08:14:26 2015
4839707,Halloween with Braces Can Still Be Sweet!,public,128,1725,48,Sun Oct 06 08:14:27 2015
4839708,Mobile of Autumn Leaves,private,74,13827,7,Mon Oct 07 08:14:28 2015
4839709,What's on Your Post-Baby To-Do List?,public,73,17224,16,Tue Oct 08 05:14:29 2015
4839710,Not Your Ordinary Tailgating Recipes,public,67,7574,2,Wed Oct 09 09:13:30 2015
4839711,Pre-Halloween Roundup!,private,84,20380,1,Thu Oct 10 07:15:31 2015
4839712,Robert Pattinson is Hot Links,public,100,16247,11,Fri Oct 11 09:15:32 2015
4839713,Ideas for Your Weekend Entertainment!,public,94,17828,28,Sat Oct 12 09:15:33 2015
4839714,Weekend Lust List: Unique Style & Easy Beauty,private,38,10934,22,Sun Oct 13 09:15:34 2015
4839715,Adoptive Parents: Things You Must Never Say,public,120,6013,31,Mon Oct 14 09:15:35 2015
4839716,A Vibrating Mascara?,private,89,7950,9,Tue Oct 15 06:15:36 2015
4839717,Birthday Parties: Open Gifts in Front of Other Toddlers?,public,32,17329,2,Wed Oct 16 09:13:37 2015
4839718,Missing: Socks,private,91,16436,17,Thu Oct 17 07:15:38 2015
4839719,Home & Garden Buzz: Get the Widget!,public,101,12462,18,Fri Oct 18 09:15:39 2015
4839720,Help for Adult Acne,private,32,4723,12,Sat Oct 19 09:15:40 2015
4839721,Sharpie Decor: Permanent Marker Made Pretty,public,68,14701,5,Sun Oct 20 09:15:41 2015
4839722,Under-dressed for the Weather,public,124,1638,28,Wed Oct 02 09:13:42 2015
4839723,SIDS And Sleeping With Your Baby,public,87,6932,30,Thu Oct 03 07:15:43 2015
4839724,Baby's Nursery: What's Your Favorite Item?,private,82,18300,6,Fri Oct 04 09:15:44 2015
4839725,Jennifer Hudson's Mother and Brother Dead,public,79,13512,39,Sat Oct 05 09:15:45 2015
4839726,Baby's First Words,public,82,5528,27,Sun Oct 06 09:15:46 2015
4839727,10 Ways to Prevent Breast Cancer,public,56,4223,41,Mon Oct 07 09:15:47 2015
4839728,Parents of Truant Kids Face Jail Time,private,55,9791,13,Tue Oct 08 06:15:48 2015
4839729,Amber Alert for Jennifer Hudson's Nephew,public,100,6895,30,Wed Oct 09 09:13:49 2015
4839730,Amber Alert for Jennifer Hudson's Nephew,public,152,5816,49,Thu Oct 10 07:15:50 2015
4839731,Get Paid for Having Babies in the UK,public,93,10657,49,Fri Oct 11 09:15:51 2015
4839732,Warning About Carter's Baby Clothes,private,83,20097,36,Sat Oct 12 09:15:52 2015
4839733,Who Will Be with You in the Delivery Room?,public,70,4566,12,Sun Oct 13 09:15:53 2015
4839734,Even More Benefits of Coffee,public,116,5090,34,Mon Oct 14 09:15:54 2015
4839735,D.L. Hughley Breaks the News on CNN,private,66,14523,14,Tue Oct 15 06:15:55 2015
4839736,Sunday Showdowns!,private,43,10642,35,Wed Oct 16 09:13:00 2015
4839737,Grey's Anatomy Recap,public,87,4987,38,Thu Oct 17 07:15:01 2015
4839738,"High School Musical 3, Zombies and More Weekend News!",public,87,20554,32,Fri Oct 18 09:15:02 2015
4839739,Halloween Costume for Baby: Cute or Not-so-Cute?,public,112,18301,43,Sat Oct 19 09:15:03 2015
4839740,News with a Dash of Sass!,private,66,2846,10,Sun Oct 20 09:15:04 2015
4839741,Handmade Holidays - Get Ready!,public,71,9449,6,Wed Oct 02 09:13:05 2015
4839742,Want to Talk to Alison Sweeney?,private,99,3435,27,Thu Oct 03 07:15:06 2015
4839743,Find Your Favorite Workout Music,private,59,9278,0,Fri Oct 04 09:15:07 2015
4839744,Good Money Advice for New Parents,private,136,15325,31,Sat Oct 05 09:15:08 2015
4839745,"Baby Teeth, Bye-Bye",public,68,14514,16,Sun Oct 06 09:15:09 2015
4839746,Throw a Halloween Party Like Amy Sedaris,private,41,14761,18,Mon Oct 07 09:15:10 2015
4839747,Favorite TV Kitchens We Could Never Forget,public,95,2362,16,Tue Oct 08 06:15:11 2015
4839748,Microwavable Meals Demystified,public,109,16211,40,Wed Oct 09 09:13:12 2015
4839749,Was It Harder to Get Pregnant with Kid Number 2?,private,104,14432,32,Thu Oct 10 07:15:13 2015
4839750,Get the Pregnancy Buzz Widget!,private,43,6895,14,Fri Oct 11 09:15:14 2015
4839751,The Birth Mother Name Game,public,37,19045,7,Sat Oct 12 09:15:15 2015
4839752,Pumpkin Seeds Prevent Hair Loss,public,100,14245,36,Sun Oct 13 09:15:16 2015
4839753,True Blood Recap,public,127,1688,37,Mon Oct 14 09:15:17 2015
4839754,True Blood Recap,public,138,8511,43,Tue Oct 15 06:15:18 2015
4839755,Where Did Mommy Go?,public,133,15603,27,Wed Oct 16 09:13:19 2015
4839756,DRAFT-Abigail's Teen Diary,public,145,19390,48,Thu Oct 17 07:15:20 2015
4839757,"Win a Free, Fashionable Diaper Bag!",public,134,19293,49,Fri Oct 18 09:15:21 2015
4839758,Rebellious Gardening Grandpa: Be Inspired,private,106,3240,12,Sat Oct 19 09:15:22 2015
4839759,Do You Hide Your Purchases?,private,82,1981,15,Sun Oct 20 09:15:23 2015
4839760,Sarah Palin Cabbage Patch Doll,public,46,2289,4,Wed Oct 02 09:14:24 2015
4839761,Dress Your Age Not Your Shoe Size,public,37,6947,11,Thu Oct 03 07:16:25 2015
4839762,Refusing to Eat -- My Problem This Week,public,90,7982,14,Fri Oct 04 09:16:26 2015
4839763,Madonna's Sticky & Sweet Tour: Not for the Green at Heart,private,117,19619,31,Sat Oct 05 09:16:27 2015
4839764,"Trick or Treat? For Teens in Illinois Town, Neither",public,95,5582,0,Sun Oct 06 09:16:28 2015
4839765,Michael Jackson Comeback Tour?,public,128,20273,34,Mon Oct 07 09:16:29 2015
4839766,Body of Jennifer Hudson's Nephew is Found,public,82,20257,31,Tue Oct 08 06:16:30 2015
4839767,Mommy Cards: Resourceful or Risky?,private,133,15010,38,Wed Oct 09 09:14:31 2015
4839768,Anne Hathaway vs. Katherine Heigl,private,56,10147,34,Thu Oct 10 07:16:32 2015
4839769,SouleMama: Show & Tell Home Tour,private,100,10348,20,Fri Oct 11 09:16:33 2015
4839770,"Moms of Newborns, Will You Get a Flu Shot?",public,123,9515,30,Sat Oct 12 09:16:34 2015
4839771,Sexist Sons. Say it  Ain't So,public,149,8459,35,Sun Oct 13 09:16:35 2015
4839772,What's the First Thing You Said to Your Baby?,private,76,9966,23,Mon Oct 14 09:16:36 2015
4839773,Where Do You Put Your iPod When You Pee?,private,89,13344,42,Tue Oct 15 06:16:37 2015
4839774,Making Mommy Friends is Hard to Do,public,88,5016,3,Wed Oct 16 09:14:38 2015
4839775,Post-Baby Giggle Pee,private,34,20663,23,Thu Oct 17 07:16:39 2015
4839776,Green Starter Kit: Great Gift Idea,public,69,12516,7,Fri Oct 18 09:16:40 2015
4839777,How to Pack a Healthy Lunch in 60 Seconds,private,37,7642,19,Sat Oct 19 09:16:41 2015
4839778,The Hills Recap!,public,105,12994,29,Sun Oct 20 09:16:42 2015
4839779,Heroes Recap!,public,45,8971,26,Wed Oct 02 09:14:43 2015
4839780,Your Fave Pregnant Celeb,public,82,12057,5,Thu Oct 03 07:16:44 2015
4839781,"Healthy, Quick Toddler Meals",public,83,10232,2,Fri Oct 04 09:16:45 2015
4839782,Zombies! Scary Creatures Make for Great Halloween Cakes,public,53,13847,30,Sat Oct 05 09:16:46 2015
4839783,Ah-choo! Flu Shot Time?,public,82,9959,43,Sun Oct 06 09:16:47 2015
4839784,"Rise in Kidney Stones in Kids, A Salt Connection",private,123,3632,43,Mon Oct 07 09:16:48 2015
4839785,Feel Pretty Today!,public,135,3890,26,Tue Oct 08 06:16:49 2015
4839786,411 on the HSG Test,public,152,12017,36,Wed Oct 09 09:14:50 2015
4839787,Stop Dressing Your Six Year Old Like a Skank and Why I Love Celia Rivenbark,public,119,3905,14,Thu Oct 10 07:16:51 2015
4839788,Too Much TV--Tips to Cut Back,private,17,11364,6,Fri Oct 11 09:16:52 2015
4839789,Chicken for Dinner? Not Again!,public,110,11718,9,Sat Oct 12 09:16:53 2015
